critical_distractor,condition,critical_target,target_sentence,sentence_number,alt_sentence,pair_distractor,pair_correct,sentence_block.thisRepN,sentence_block.thisTrialN,sentence_block.thisN,sentence_block.thisIndex,sentence_trial.thisRepN,sentence_trial.thisTrialN,sentence_trial.thisN,sentence_trial.thisIndex,resp,resp.RT,resp.acc,block.acc,block.RT,participant,version,exp_name,frameRate,session,date,session_start,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,Ｘ,说,0,0,0,1,0,0,0,0,0,637.8,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,镑,是,0,0,0,1,0,1,1,1,1,324.3,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,动,一,0,0,0,1,0,2,2,2,1,377.8,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,卩,年,0,0,0,1,0,3,3,3,0,368.5,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,满,连,0,0,0,1,0,4,4,4,1,335.0,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,洲,本,0,0,0,1,0,5,5,5,1,350.9,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,革,带,0,0,0,1,0,6,6,6,0,352.3,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,院,息,0,0,0,1,0,7,7,7,1,407.3,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,雌,还,0,0,0,1,0,8,8,8,0,356.3,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,丫.,清.,0,0,0,1,0,9,9,9,0,301.2,1,,,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,,,0,0,0,1,,,,,,,,1,6284.7,901,1.0.0,untitled,59.979379114,001,2016-10-25,23:54:41,
